OBJECTID,L_F_ADD,R_F_ADD,L_T_ADD,R_T_ADD,STREETALL,F_CLASS,ALT_NAM1,ALT_NAM2,ZIP5_L,ZIP5_R,CITYLEFT,CITYRIGT,PREDIR,STREETNAME,TYPE,SUFDIR,SPEED_LIM,HIGHWAY_NU,ALT_ID,GBSID,COUNTYRIGT,COUNTYLEFT,ONEWAY,MSLINK,F_XSTREET_1,F_XSTREET_2,F_XSTREET_3,T_XSTREET_1,T_XSTREET_2,T_XSTREET_3,GlobalID,FromLanes,ToLanes,Shape__Length
1,3000,3001,3098,3099,39TH ST E,A40,,,55406,55406,MINNEAPOLIS,MINNEAPOLIS,,39TH,ST,E,30,,9491,12198,HENNEPIN,HENNEPIN,B,31453,30TH AVE S,,,NOKOMIS AVE S,,,29744cc9-5dea-4a48-a068-2daccb8ca02b,1,1,138.028159702457
2,601,600,613,612,SHERIDAN AVE N,A40,,,55411,55411,MINNEAPOLIS,MINNEAPOLIS,,SHERIDAN,AVE,N,30,,5509,20682,HENNEPIN,HENNEPIN,B,31958,OLSON MEMORIAL HWY,,,7TH AVE N,,,bc64c65c-369f-49e9-9cfc-c46b5aedb84d,1,1,24.1083034916985
3,1998,1999,1900,1901,57TH ST W,A40,,,55419,55419,MINNEAPOLIS,MINNEAPOLIS,,57TH,ST,W,30,,6704,22577,HENNEPIN,HENNEPIN,B,5136,MORGAN AVE S,,,LOGAN AVE S,,,0b2b1962-c712-4854-8b5e-9430e8009df5,1,1,142.731381775529
4,600,601,618,619,40TH ST E,A40,,,55407,55407,MINNEAPOLIS,MINNEAPOLIS,,40TH,ST,E,30,,10538,11676,HENNEPIN,HENNEPIN,B,3729,PORTLAND AVE,,,OAKLAND AVE,,,4de4c732-6273-4758-926a-fb5480518a57,1,1,140.356403164445
5,3198,3199,3100,3101,46TH AVE S,A40,,,55406,55406,MINNEAPOLIS,MINNEAPOLIS,,46TH,AVE,S,30,,10625,11050,HENNEPIN,HENNEPIN,B,4336,32ND ST E,,,31ST ST E,,,89ca243a-d516-4e54-8a98-13bb4fa0d8ff,1,1,271.24101600797
6,5598,5599,5500,5501,COLFAX AVE S,A40,,,55419,55419,MINNEAPOLIS,MINNEAPOLIS,,COLFAX,AVE,S,30,,7967,20906,HENNEPIN,HENNEPIN,B,6206,56TH ST W,,,55TH ST W,,,200ec087-0a4d-47ed-a1d3-edb4b10e18d8,1,1,284.210902769748
7,2901,2900,3099,3098,HENNEPIN AVE E,A30,COUNTY ROAD 52,,55413,55414,MINNEAPOLIS,MINNEAPOLIS,,HENNEPIN,AVE,E,30,52,5637,11477,HENNEPIN,HENNEPIN,B,6574,29TH AVE SE,,,INDUSTRIAL BLVD,,,7484af3f-004a-4eb6-8908-d1b0c536a761,1,1,275.604687305036
8,2198,2199,2100,2101,CHICAGO AVE,A40,,,55404,55404,MINNEAPOLIS,MINNEAPOLIS,,CHICAGO,AVE,,30,,1795,17518,HENNEPIN,HENNEPIN,B,6067,22ND ST E,,,21ST ST E,,,fdba5fb1-0cb5-40fd-afaa-faf16c92fa40,1,1,141.676097343491
9,2801,2800,2899,2898,14TH AVE N,A40,,,55411,55411,MINNEAPOLIS,MINNEAPOLIS,,14TH,AVE,N,30,,9061,14886,HENNEPIN,HENNEPIN,B,1221,VINCENT AVE N,,,WASHBURN AVE N,,,0ffce8ea-4d74-4712-854f-5709043aad85,1,1,142.701328925944
10,3300,3301,3398,3399,STINSON BLVD,A30,COUNTY ROAD 27,,55418,55418,MINNEAPOLIS,SAINT ANTHONY,,STINSON,BLVD,NE,30,27,10041,13181,RAMSEY,HENNEPIN,B,32073,33RD AVE NE,,,34TH AVE NE,,,69b06210-73a2-45f5-9021-29df51612886,1,1,283.96641247617
