Zipcode,TripDistance,Zipcode
55401.0,96611863,55401.0
55402.0,44146832,55402.0
55403.0,67718543,55403.0
55404.0,6914123,55404.0
55405.0,5043493,55405.0
55406.0,288689,55406.0
55407.0,1248315,55407.0
55408.0,19088572,55408.0
55409.0,76821,55409.0
55410.0,1594383,55410.0
55411.0,2498638,55411.0
55413.0,6128215,55413.0
55414.0,70357651,55414.0
55415.0,30088935,55415.0
55416.0,2034413,55416.0
55418.0,1090523,55418.0
55419.0,79609,55419.0
55430.0,3588,55430.0
55454.0,3169588,55454.0
55455.0,5500170,55455.0
